f [Hz];U [dB]
10,0;146,1156403172848
20,0;146,01458762362404
30,0;146,0142042826419
40,0;146,01397685147734
50,0;146,01365268938855
60,0;146,01420487269397
70,0;146,0140255073237
80,0;146,0140911517173
90,0;146,01372654861308
100,0;146,0141374589902
200,0;146,01395165064127
300,0;146,01409174177704
400,0;146,014184946123
500,0;146,01368140703113
600,0;146,01369020916633
700,0;146,0137628879078
800,0;146,0134352017961
900,0;146,01379454329268
1000,0;146,0132833715508
2000,0;146,0119132509499
3000,0;146,01027257680062
4000,0;146,00953951700066
5000,0;146,00815414250968
6000,0;146,0054507904893
7000,0;146,00071085963884
8000,0;145,99605997825623
9000,0;145,99495209647412
10000,0;145,99619684755038
