f [Hz];U [V]
10,0;0,34335161882141335
20,0;0,3400026309980661
30,0;0,3354019453780795
40,0;0,3292940871098378
50,0;0,32184077434262565
60,0;0,3134232055137535
70,0;0,30431634616615355
80,0;0,29465279013500684
90,0;0,2848276658612133
100,0;0,2748228878160518
200,0;0,19049241781272652
300,0;0,13947165580071266
400,0;0,10858739336533571
500,0;0,08846134595829559
600,0;0,07444758726774534
700,0;0,0641826171202096
800,0;0,056360530630360464
900,0;0,05019465227082346
1000,0;0,0452345425769034
2000,0;0,022453322613252367
3000,0;0,014653144780500262
4000,0;0,010645827023986703
5000,0;0,008173905149518258
6000,0;0,00646420176077214
7000,0;0,005209694572322514
8000,0;0,004211162612531102
9000,0;0,003421327392647024
10000,0;0,0027640812052746634
