f [Hz];U [dBuV]
1e-05;28,733643
2e-05;34,243065
3e-05;37,106514
4e-05;39,655838
5e-05;41,365952
6e-05;42,679688
7e-05;43,890842
8e-05;45,045231
9e-05;45,999565
0,0001;48,986141
0,0002;53,316093
0,0003;56,379696
0,0004;58,814297
0,0005;60,667213
0,0006;62,120995
0,0007;63,372967
0,0008;64,444096
0,0009;65,371510
0,001;66,300655
0,002;71,724789
0,003;74,943707
0,004;77,191145
0,005;78,899260
0,006;80,253428
0,007;81,360655
0,008;82,283419
0,009;83,075890
0,01;83,749262
0,02;87,092352
0,03;87,774897
0,04;87,569042
0,05;87,023626
0,06;86,354691
0,07;85,647882
0,08;84,938559
0,09;84,237865
0,1;83,558489
0,11;82,922310
0,12;82,310688
0,13;81,717146
0,14;81,142736
0,15;79,814190
0,2;78,496050
0,3;75,071835
0,4;72,655064
0,5;70,459896
0,6;68,806499
0,7;67,390079
0,8;65,859955
0,9;63,758446
1,0;61,995281
