f [Hz];U [dB]
30,0;74,64477378487732
40,0;76,67435407283443
50,0;78,33764991972389
60,0;79,60692075664888
70,0;80,642785034222
80,0;81,459028596634
90,0;82,17240734328675
100,0;82,76521673607952
200,0;85,55359267929481
300,0;86,34918923250211
400,0;86,67117471897205
500,0;86,82439419208792
600,0;86,93800890497242
700,0;86,96667705417019
800,0;86,99342846360325
900,0;87,01943900487187
1000,0;87,04519702294755
2000,0;87,09017172406101
3000,0;87,08987940818281
4000,0;87,07692762936433
5000,0;87,08042382463981
6000,0;87,09270305154138
7000,0;87,09182935945324
8000,0;87,09984908407306
9000,0;87,10477107512227
10000,0;87,12754776583003
