f [Hz];U [dB]
10,0;145,9933687300045
20,0;146,01446454086795
30,0;146,0139873989275
40,0;146,0138537477727
50,0;146,0135612373247
60,0;146,0138572636407
70,0;146,01378458568888
80,0;146,01388950875506
90,0;146,01392702750988
100,0;146,014149186357
200,0;146,01408060439314
300,0;146,01418318825552
400,0;146,01409525754866
500,0;146,01379572345235
600,0;146,01405481379592
700,0;146,01384730610883
800,0;146,01347448052462
900,0;146,01351786517984
1000,0;146,01323705972428
2000,0;146,0117912984266
3000,0;146,01029486132185
4000,0;146,00951780861254
5000,0;146,00823039803606
6000,0;146,00531055991675
7000,0;146,0006639020682
8000,0;145,9960958125729
9000,0;145,99523407269845
10000,0;145,99602944074837
20000,0;146,02289040899885
30000,0;146,01197774319832
40000,0;146,009676161756
50000,0;146,00844389518733
60000,0;146,00829843575394
70000,0;146,01018461879443
80000,0;146,0116353324503
90000,0;146,01231956256382
100000,0;146,01429278999854
110000,0;146,0137769638116
120000,0;146,0156537474837
130000,0;146,01535543478494
140000,0;146,01330213225762
150000,0;146,012069802133
200000,0;146,00401781190322
300000,0;145,97589087685625
400000,0;145,9326269545869
500000,0;145,88248543987382
