f [Hz];U [dB]
10,0;74,10543448723062
20,0;80,02460049915568
30,0;83,4176257122376
40,0;85,74826458530444
50,0;87,48709819323042
60,0;88,8364129790707
70,0;89,91793620621414
80,0;90,800817669393
90,0;91,5277737911737
100,0;92,13747350451536
200,0;95,00123840628132
300,0;95,84070853289225
400,0;96,1831308447641
500,0;96,35280521493851
600,0;96,44806791715439
700,0;96,50674078576797
800,0;96,54607921484089
900,0;96,57239430389677
1000,0;96,59117954947521
2000,0;96,65277671386315
3000,0;96,6668216873197
4000,0;96,67551262386644
5000,0;96,68456888132681
6000,0;96,69305191051217
7000,0;96,69878008698278
8000,0;96,70477864140906
9000,0;96,71511976780182
10000,0;96,72654924942225
20000,0;96,81515766840407
30000,0;96,82187612455819
40000,0;96,81726307134811
50000,0;96,80560006190521
60000,0;96,79014706477159
70000,0;96,7756157414249
80000,0;96,76068602029439
90000,0;96,74717945634126
100000,0;96,73132740454514
110000,0;96,69032408641903
120000,0;96,53873769059555
130000,0;96,10382852523635
140000,0;95,5493350377472
150000,0;95,32984837284756
200000,0;92,46037064488667
300000,0;97,44473854310141
400000,0;103,6635227397644
500000,0;103,85302060046584
