f [Hz];U [dBuV]
1e-05;130,930418
2e-05;131,525566
3e-05;130,970018
4e-05;131,079935
5e-05;131,104847
6e-05;131,097723
7e-05;131,075380
8e-05;131,044189
9e-05;131,008741
0,0001;131,500629
0,0002;130,979841
0,0003;130,974791
0,0004;130,971552
0,0005;130,967979
0,0006;130,967308
0,0007;130,966434
0,0008;130,966091
0,0009;130,965719
0,001;130,968069
0,002;130,959164
0,003;130,959852
0,004;130,951498
0,005;130,946577
0,006;130,940033
0,007;130,933977
0,008;130,929413
0,009;130,931944
0,01;130,934215
0,02;130,941198
0,03;130,933021
0,04;130,933119
0,05;130,936564
0,06;130,939865
0,07;130,940592
0,08;130,936523
0,09;130,925095
0,1;130,911255
0,11;130,925291
0,12;130,939798
0,13;130,949188
0,14;130,947367
0,15;130,343519
0,2;130,935411
0,3;130,867964
0,4;130,955973
0,5;130,875297
0,6;130,815516
0,7;130,799343
0,8;130,802755
0,9;130,813274
1,0;130,825411
